"","Country","ISO.code","Continent","Happiness","Fertility","GDPpercapita","Lifeexpectancy","Meatconsumption","Medianage","Urbanizationrate","CCDR3070","POISON_MORT","NONCOM_DISEASE","MATERNAL_MORT","ROADTRAFFIC_MORT","UNIV_HEALTHCARE","MEDICS","DRINKING_WATER","CLEAN_FUEL_TECH"
"99","Norway","NOR","Europe",7.392,1.6,79638,82.5,61.7,39.2,83,9.2,0.18,9.2,2,2.7,87,29.16,100,95
"100","Pakistan","PAK","Asia & Oceania",4.934,3.5,6016,67.1,12.3,23.8,37.2,24.7,2.27,24.7,140,14.3,45,9.8,89.88,44
"101","Panama","PAN","North America",6.18,2.5,28456,78.3,54.5,29.2,68.4,13,0.39,13,52,14.3,79,15.69,92.86,88
"102","Paraguay","PRY","South America",5.653,2.4,13213,74.1,70.3,28.2,62.2,17.5,0.34,17.5,84,22.7,69,13.54,99.16,68
"103","Peru","PER","South America",5.84,2.3,15399,76.5,34.5,28,78.3,12.6,0.89,12.6,88,13.5,77,13.05,75.58,80
"104","Philippines","PHL","Asia & Oceania",5.88,2.6,10094,71.1,31.1,23.5,47.4,26.8,0.25,26.8,121,12.3,61,6,89.96,46
"105","Poland","POL","Europe",6.166,1.5,35651,78.5,78.1,40.7,60,18.7,0.25,18.7,2,9.7,75,23.79,99.54,95
"106","Portugal","PRT","Europe",5.929,1.4,34936,81.9,91.1,42.2,66.3,11.1,0.26,11.1,8,7.4,82,51.24,100,95
"107","Republic of the Congo","COG","Africa",5.342,4.4,7336,64.3,13.3,19.7,67.8,16.7,1.23,16.7,378,27.4,39,1.65,45.72,32
"108","Romania","ROU","Europe",6.14,1.8,29555,75.9,54.5,41.1,56.4,21.4,0.39,21.4,19,10.3,74,29.81,100,75
"109","Russia","RUS","Europe",5.477,1.82,30820,72.4,51,39.6,74.8,25.4,1.69,25.4,17,18,75,37.49,92.62,90
"110","Rwanda","RWA","Africa",3.415,4,2642,68.7,4.4,19,17.4,18.2,2.37,18.2,248,29.7,57,1.34,52.64,5
"111","Saudi Arabia","SAU","Asia & Oceania",6.494,2.3,56912,75,44.6,27.5,84.3,16.4,0.65,16.4,17,28.8,74,26.12,100,95
"112","Senegal","SEN","Africa",5.132,4.6,4079,67.7,17.7,18.8,48.1,18.1,2.27,18.1,315,23.4,45,0.69,70.46,23
"113","Serbia","SRB","Europe",6.078,1.5,19767,75.8,58.6,42.6,56.4,19.1,0.33,19.1,12,7.4,65,31.13,83.27,66
"114","Sierra Leone","SLE","Africa",3.849,4.3,1765,54.3,6.1,19,42.9,30.5,4.13,30.5,1120,29.7,39,0.25,50.14,5
"115","Singapore","SGP","Asia & Oceania",6.377,1.1,105689,83.8,71.1,34.6,100,9.3,0.082,9.3,8,2.8,86,22.94,100,95
"116","Slovakia","SVK","Europe",6.331,1.7,38321,77.4,67.4,40.5,53.8,17.2,0.36,17.2,5,6.1,77,34.16,100,95
"117","Slovenia","SVN","Europe",6.461,1.6,40344,81.2,88,44.5,55.1,12.7,0.29,12.7,7,6.4,79,30.86,99.4,95
"118","South Africa","ZAF","Africa",4.956,2.4,13965,63.9,39,27.1,67.4,26.2,1.24,26.2,119,25.9,69,9.05,80.68,85
"119","South Korea","KOR","Asia & Oceania",5.845,1.6,46452,83.4,48,41.8,81.4,7.8,0.51,7.8,11,9.8,86,23.61,99.79,95
"120","Spain","ESP","Europe",6.491,1.3,43007,83.4,118.6,42.7,80.8,9.9,0.2,9.9,4,4.1,83,38.72,100,95
"121","Sri Lanka","LKA","Asia & Oceania",4.325,2.2,14509,76.8,6.6,32.8,18.7,17.4,0.42,17.4,36,14.9,66,10.04,87.72,31
"122","Sweden","SWE","Europe",7.363,1.8,55989,82.7,76.1,41.2,88,9.1,0.38,9.1,4,2.8,86,39.84,100,95
"123","Switzerland","CHE","Europe",7.571,1.5,67558,82.5,72.9,42.4,73.9,8.6,0.096,8.6,5,2.7,83,42.96,100,95
"124","Tajikistan","TJK","Asia & Oceania",5.466,3.6,3751,70.9,8.7,24.5,27.5,25.3,1.18,25.3,17,18.1,68,21.03,75.64,81
